HTTrack3.49-2+htsswf+htsjava launched on Fri, 23 Jun 2017 15:16:28 at http://evoting.ust.edu.ng +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar
(winhttrack -qwC2%Ps2u1%s%uN0%I0p3DaK0H0%kf2A25000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "en, *" http://evoting.ust.edu.ng -O1 "C:\My Web Sites\vote" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

15:48:23	Warning: 	Retry after error -4 (Connect Error) at link evoting.ust.edu.ng/includes/sqlview.php (from evoting.ust.edu.ng/)
15:48:23	Warning: 	Retry after error -4 (Connect Error) at link evoting.ust.edu.ng/manifesto.html (from evoting.ust.edu.ng/)
15:48:23	Warning: 	Retry after error -4 (Connect Error) at link evoting.ust.edu.ng/js/jquery.min.js (from evoting.ust.edu.ng/)
15:48:23	Error: 	"Cancelled by User" (-1) at link evoting.ust.edu.ng/js/bootstrap.min.js (from evoting.ust.edu.ng/)
15:48:23	Warning: 	Retry after error -4 (Connect Error) at link evoting.ust.edu.ng/js/lightslider.js (from evoting.ust.edu.ng/)
15:48:44	Error: 	"Cancelled by User" (-1) at link evoting.ust.edu.ng/js/waitforimages.js (from evoting.ust.edu.ng/)
15:48:44	Error: 	"Cancelled by User" (-1) at link evoting.ust.edu.ng/js/jquery.carousel-3d.min.js (from evoting.ust.edu.ng/)
15:48:44	Error: 	"Cancelled by User" (-1) at link evoting.ust.edu.ng/js/jquery.fancybox.pack.js (from evoting.ust.edu.ng/)
15:48:44	Error: 	"Cancelled by User" (-1) at link evoting.ust.edu.ng/js/helpers/jquery.fancybox-media.js (from evoting.ust.edu.ng/)
15:48:44	Error: 	"Cancelled by User" (-1) at link evoting.ust.edu.ng/js/wow.min.js (from evoting.ust.edu.ng/)
15:48:44	Error: 	"Cancelled by User" (-1) at link evoting.ust.edu.ng/js/moments.js (from evoting.ust.edu.ng/)
15:48:44	Error: 	"Cancelled by User" (-1) at link evoting.ust.edu.ng/js/bootstrap-datetimepicker.js (from evoting.ust.edu.ng/)
15:48:44	Error: 	"Cancelled by User" (-1) at link evoting.ust.edu.ng/includes/jQryfile.js (from evoting.ust.edu.ng/)
15:49:05	Error: 	"Cancelled by User" (-1) at link evoting.ust.edu.ng/fonts/glyphicons-halflings-regular.eot (from evoting.ust.edu.ng/css/bootstrap.min.css)
15:49:05	Error: 	"Cancelled by User" (-1) at link evoting.ust.edu.ng/fonts/glyphicons-halflings-regular.woff (from evoting.ust.edu.ng/css/bootstrap.min.css)
15:49:05	Error: 	"Cancelled by User" (-1) at link evoting.ust.edu.ng/fonts/glyphicons-halflings-regular.ttf (from evoting.ust.edu.ng/css/bootstrap.min.css)
15:49:06	Error: 	"Cancelled by User" (-1) at link evoting.ust.edu.ng/css/lightslider.css (from evoting.ust.edu.ng/)
